model,year,price,mileage,tax,mpg,engineSize,model_encoded,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
 Kuga,2019,23998,7584,145.0,39.2,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2013,6498,41599,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,12498,10373,145.0,54.3,1.0,9,0,1,0,0,0,0,0,1
 Fiesta,2013,4998,79300,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 C-MAX,2017,11498,12982,30.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 Focus,2017,11298,24386,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 EcoSport,2017,9298,18209,30.0,64.2,1.5,2,0,1,0,1,0,0,0,0
 EcoSport,2018,12998,9796,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2018,14498,9428,145.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Galaxy,2016,18498,30528,125.0,56.5,2.0,8,0,1,0,1,0,0,0,0
 C-MAX,2016,8498,41772,30.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 Fiesta,2015,8298,15673,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2015,8498,47219,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2018,12998,16081,150.0,57.7,1.0,6,0,1,0,0,0,0,0,1
 Focus,2019,16998,10476,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2016,9998,16647,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2017,13698,41457,150.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,13998,4735,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 EcoSport,2016,9498,24045,125.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 EcoSport,2019,15984,6500,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 EcoSport,2017,8489,60190,160.0,44.8,1.5,2,0,1,0,0,0,0,0,1
 Fiesta,2017,9995,27000,0.0,78.5,1.5,5,0,1,0,1,0,0,0,0
 Fiesta,2017,8498,32538,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2016,13498,36345,150.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Focus,2016,8998,43623,20.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2013,9998,58500,200.0,45.6,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2017,17498,15729,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,9998,7892,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,11990,24725,145.0,47.9,1.6,5,0,1,0,0,0,0,0,1
 Focus,2019,16899,7000,145.0,80.7,1.5,6,0,1,0,1,0,0,0,0
 EcoSport,2019,15984,3500,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 EcoSport,2019,15984,4500,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 EcoSport,2019,15984,4000,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 EcoSport,2019,13998,4889,145.0,68.9,1.5,2,0,1,0,1,0,0,0,0
 Kuga,2017,17994,20633,150.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Galaxy,2016,17489,47937,165.0,51.4,2.0,8,0,0,1,1,0,0,0,0
 Kuga,2018,19899,28500,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Fiesta,2014,4699,85000,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 EcoSport,2017,9949,23000,125.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 C-MAX,2017,11498,9995,145.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 C-MAX,2017,10898,12626,30.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 C-MAX,2018,12998,7320,145.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 C-MAX,2019,13498,23394,145.0,48.7,1.0,1,0,1,0,0,0,0,0,1
 C-MAX,2017,9998,12932,20.0,68.9,1.5,1,0,1,0,1,0,0,0,0
 Focus,2019,18998,22246,150.0,64.2,2.0,6,1,0,0,1,0,0,0,0
 Fiesta,2019,11798,5530,150.0,48.7,1.1,5,0,1,0,0,0,0,0,1
 Fiesta,2019,11798,4590,150.0,48.7,1.1,5,0,1,0,0,0,0,0,1
 Fiesta,2017,8498,28479,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2013,8998,67895,200.0,47.9,2.0,13,0,1,0,1,0,0,0,0
 Focus,2019,14799,6249,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2019,14799,8560,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Mustang,2020,42489,3500,145.0,22.1,5.0,15,1,0,0,0,0,0,0,1
 Kuga,2017,17498,9940,145.0,45.6,1.5,13,0,1,0,0,0,0,0,1
 Focus,2019,16498,4930,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2018,19698,12011,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Fiesta,2016,8498,23053,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2016,16998,17589,200.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Focus,2019,14998,7000,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Grand Tourneo Connect,2019,19999,3500,145.0,61.4,1.5,10,0,1,0,1,0,0,0,0
 Kuga,2019,20999,5500,145.0,47.9,2.0,13,1,0,0,1,0,0,0,0
