model,year,price,mileage,tax,mpg,engineSize,model_encoded,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
 Fiesta,2016,9991,38765,145.0,47.9,1.6,5,0,1,0,0,0,0,0,1
 Fiesta,2018,9995,32668,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2017,9995,27175,145.0,52.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2016,9995,13893,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,14792,20700,145.0,40.3,1.5,5,0,1,0,0,0,0,0,1
 Fiesta,2018,11979,33000,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 C-MAX,2014,7498,55000,30.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 Focus,2019,16294,13000,145.0,50.4,1.0,6,1,0,0,0,0,0,0,1
 Fiesta,2016,8974,33000,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 S-MAX,2016,15498,34000,145.0,52.3,2.0,18,0,0,1,1,0,0,0,0
 Fiesta,2015,8263,33000,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,11287,12000,145.0,88.3,1.5,5,0,1,0,1,0,0,0,0
 Focus,2015,8474,32000,20.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,9445,20000,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,16794,25000,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Kuga,2017,17474,26000,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Kuga,2017,15762,26000,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2019,16982,4000,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2016,8992,35646,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2015,8942,33000,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,10499,34886,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,10000,32620,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,16299,8398,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Fiesta,2019,16500,5220,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Fiesta,2017,11399,18001,20.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Focus,2019,16800,30,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Focus,2019,22000,13917,145.0,64.2,2.0,6,1,0,0,1,0,0,0,0
 Fiesta,2018,10800,6866,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2016,9200,36500,20.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 Mondeo,2017,16200,35136,150.0,58.9,2.0,14,1,0,0,1,0,0,0,0
 S-MAX,2016,15496,50000,125.0,56.5,2.0,18,0,1,0,1,0,0,0,0
 Mondeo,2017,13985,51000,125.0,57.7,2.0,14,0,0,1,1,0,0,0,0
 Focus,2017,12429,15000,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Focus,2019,14890,11399,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2019,13880,7292,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Focus,2019,14850,11788,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Focus,2017,10890,41934,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Ka+,2019,11590,356,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12840,66,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11950,89,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12800,162,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12890,300,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12000,1553,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11990,344,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12000,255,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12430,344,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11950,48,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11790,327,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12780,339,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 C-MAX,2017,13890,14651,145.0,67.3,1.5,1,1,0,0,1,0,0,0,0
 Kuga,2018,15900,14561,150.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2019,16500,4446,150.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2016,9481,27000,125.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Focus,2017,11257,17000,150.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2017,10997,12000,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2015,8484,25000,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Ka+,2017,7278,23000,150.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 Focus,2018,12877,16000,150.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Mustang,2016,27925,11600,580.0,20.9,5.0,15,0,1,0,0,0,0,0,1
 Kuga,2019,19990,8694,145.0,35.3,1.5,13,0,1,0,0,0,0,0,1
 Kuga,2017,18500,14325,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Focus,2018,18680,3300,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Kuga,2019,24680,3369,145.0,38.7,2.0,13,0,0,1,1,0,0,0,0
 Focus,2019,26780,4763,145.0,34.5,2.3,6,0,1,0,0,0,0,0,1
 Fiesta,2017,10680,19741,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Mondeo,2019,25890,4200,135.0,46.3,2.0,14,1,0,0,0,0,1,0,0
 S-MAX,2019,24500,13156,145.0,54.3,2.0,18,0,1,0,1,0,0,0,0
 Focus,2018,17500,4290,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2017,16000,19193,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 B-MAX,2013,7999,26902,30.0,55.4,1.0,0,0,1,0,0,0,0,0,1
 Focus,2013,5999,59477,30.0,56.5,1.0,6,0,1,0,0,0,0,0,1
 EcoSport,2018,12499,14153,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Focus,2016,9999,23325,20.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2018,17999,20321,150.0,45.6,1.5,13,0,1,0,0,0,0,0,1
 Focus,2019,17999,11304,150.0,46.3,1.5,6,0,1,0,0,0,0,0,1
 Edge,2017,20999,24224,150.0,48.7,2.0,3,0,0,1,1,0,0,0,0
 Kuga,2019,18999,8509,145.0,38.2,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,11499,32094,145.0,54.3,1.0,5,0,0,1,0,0,0,0,1
 Kuga,2018,18890,18670,145.0,39.2,1.5,13,0,1,0,0,0,0,0,1
 Kuga,2019,19990,9900,145.0,37.7,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2019,23780,12603,145.0,38.7,2.0,13,1,0,0,1,0,0,0,0
 Kuga,2019,23890,8123,145.0,38.7,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2017,14990,13988,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,11550,30973,0.0,74.3,1.5,6,0,0,1,1,0,0,0,0
 Fiesta,2019,12980,15274,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,11890,38617,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Kuga,2015,11500,28849,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2019,15890,12049,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2016,8990,14914,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2014,8995,19797,150.0,47.9,1.6,5,0,0,1,0,0,0,0,1
 EcoSport,2019,17900,1,145.0,45.6,1.0,2,0,0,1,0,0,0,0,1
 Focus,2016,14000,35194,205.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Focus,2016,14400,22973,205.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,10500,35377,0.0,57.7,1.0,5,0,0,1,0,0,0,0,1
 Focus,2019,15890,13773,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2019,17280,14319,145.0,34.4,1.5,13,0,1,0,0,0,0,0,1
 Fiesta,2019,13950,14459,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2017,13500,37071,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 S-MAX,2017,19399,28225,145.0,56.5,2.0,18,0,1,0,1,0,0,0,0
 S-MAX,2017,16899,36545,145.0,56.5,2.0,18,0,1,0,1,0,0,0,0
 Fiesta,2018,9799,30701,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,10499,34683,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,15899,4058,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,16399,7805,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Fiesta,2019,15599,6123,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,16599,21517,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Kuga,2015,13199,21696,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,13499,6476,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Kuga,2017,13500,42744,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2018,12500,8455,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2017,10990,23224,150.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Focus,2015,9295,20578,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,8400,9796,150.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2018,11000,15591,150.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,11500,9487,150.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12000,15711,150.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,16890,8147,150.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Kuga,2018,18980,8011,150.0,47.9,2.0,13,0,0,1,1,0,0,0,0
 Fiesta,2017,8899,18207,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2017,16899,21065,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 EcoSport,2019,18799,647,145.0,52.3,1.0,2,0,1,0,0,0,0,0,1
 C-MAX,2017,11599,15376,20.0,68.9,1.5,1,0,1,0,1,0,0,0,0
 Kuga,2017,17299,12862,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Grand C-MAX,2018,13799,11708,145.0,64.2,1.5,9,0,1,0,1,0,0,0,0
 B-MAX,2017,11499,8769,30.0,57.7,1.0,0,0,1,0,0,0,0,0,1
 Focus,2017,12599,4559,145.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 C-MAX,2016,10000,17693,20.0,68.9,1.5,1,0,1,0,1,0,0,0,0
 Fiesta,2019,15699,7331,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 B-MAX,2013,5495,56950,160.0,44.1,1.6,0,0,0,1,0,0,0,0,1
 Fiesta,2018,9995,27800,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,9995,28834,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,11500,22075,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 EcoSport,2020,18995,24,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 Ka+,2018,7500,14446,145.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 Focus,2019,17880,1,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Kuga,2019,23880,3500,145.0,38.7,2.0,13,0,0,1,1,0,0,0,0
 Ka+,2019,12000,784,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Kuga,2019,18690,12557,145.0,35.3,1.5,13,0,1,0,0,0,0,0,1
 Focus,2017,18599,18418,200.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,9899,24270,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,19399,4883,145.0,47.9,1.5,13,0,1,0,1,0,0,0,0
 Focus,2018,13499,13377,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,12000,14652,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,11199,21600,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,15299,6164,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,16599,7885,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Fiesta,2019,15399,7720,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,15299,8347,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2017,17399,23833,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Kuga,2018,15199,23500,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,10699,16901,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,10599,15098,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2019,26299,3764,145.0,34.5,2.3,6,0,1,0,0,0,0,0,1
 Galaxy,2017,18000,40838,145.0,52.3,2.0,8,0,0,1,1,0,0,0,0
 Kuga,2019,26499,2741,145.0,38.7,2.0,13,0,0,1,1,0,0,0,0
 Focus,2018,18499,29553,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Fiesta,2019,12999,12914,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Ka+,2019,11880,635,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Kuga,2019,18850,15450,145.0,35.3,1.5,13,0,1,0,0,0,0,0,1
 EcoSport,2020,17799,1820,145.0,52.3,1.0,2,0,1,0,0,0,0,0,1
 EcoSport,2020,17999,755,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Mondeo,2020,22499,2813,145.0,51.4,2.0,14,0,1,0,1,0,0,0,0
 Fiesta,2020,15299,895,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 S-MAX,2017,17199,32942,125.0,56.5,2.0,18,0,1,0,1,0,0,0,0
 Fiesta,2018,11000,13924,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2019,15799,1525,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 Mustang,2019,36799,10810,145.0,22.1,5.0,15,0,0,1,0,0,0,0,1
 Ka+,2019,12940,8,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11880,254,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12350,451,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11880,569,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11500,503,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12680,494,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11890,206,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,12780,1120,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,9980,1074,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 EcoSport,2019,18499,6956,145.0,58.9,1.5,2,0,1,0,1,0,0,0,0
 Kuga,2019,20799,447,145.0,47.9,2.0,13,0,1,0,1,0,0,0,0
 Focus,2019,18499,7445,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Ka+,2019,11299,2516,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2019,11199,2591,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Kuga,2017,15299,12555,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,14500,7653,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2019,15899,7867,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 Focus,2015,9899,13234,20.0,67.3,1.6,6,0,1,0,1,0,0,0,0
 Focus,2019,13899,15952,145.0,80.7,1.5,6,0,1,0,1,0,0,0,0
 Focus,2019,20599,2994,145.0,49.6,1.5,6,0,1,0,0,0,0,0,1
 S-MAX,2018,20199,10824,145.0,43.5,1.5,18,0,1,0,0,0,0,0,1
 B-MAX,2014,7399,40349,160.0,44.1,1.6,0,0,0,1,0,0,0,0,1
 Fiesta,2017,9399,13148,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,15799,8129,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2018,12399,15242,145.0,57.7,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,11499,23975,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2016,12699,26350,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Kuga,2016,15799,30225,235.0,38.2,1.5,13,1,0,0,0,0,0,0,1
 EcoSport,2020,18499,7,145.0,52.3,1.0,2,0,1,0,0,0,0,0,1
 Kuga,2017,13500,36552,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2017,8899,12289,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Mondeo,2017,17299,10154,235.0,38.2,2.0,14,1,0,0,0,0,0,0,1
 Kuga,2017,19500,19141,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Mondeo,2019,20000,8988,145.0,58.9,2.0,14,0,0,1,1,0,0,0,0
 Kuga,2019,18999,2500,145.0,34.4,1.5,13,0,1,0,0,0,0,0,1
 Focus,2018,20499,18482,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Galaxy,2017,18799,41569,125.0,56.5,2.0,8,0,1,0,1,0,0,0,0
 Fiesta,2017,12000,3925,0.0,57.7,1.0,5,0,0,1,0,0,0,0,1
 Focus,2017,13000,17525,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Fiesta,2017,11799,9016,0.0,57.7,1.0,5,0,0,1,0,0,0,0,1
 Ka+,2019,11299,2691,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Tourneo Connect,2017,14000,21491,145.0,64.2,1.5,20,0,1,0,1,0,0,0,0
 EcoSport,2018,14199,9293,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2019,15500,4293,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2018,12499,23776,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2019,12899,9855,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,9799,13691,145.0,55.4,1.1,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12199,17288,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12299,15379,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12299,12485,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2019,16699,1536,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 Focus,2017,9000,64195,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2017,10399,11270,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2017,10399,37258,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Kuga,2019,19499,8987,145.0,38.2,2.0,13,0,1,0,1,0,0,0,0
 Focus,2019,15000,4563,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,8799,15393,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 EcoSport,2017,11599,22183,160.0,44.8,1.5,2,0,0,1,0,0,0,0,1
 Kuga,2017,14899,20668,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,11399,17980,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2018,11899,17298,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2018,12299,19850,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 B-MAX,2017,11299,11051,145.0,44.1,1.6,0,0,0,1,0,0,0,0,1
 Focus,2017,18000,30591,145.0,61.4,2.0,6,0,0,1,1,0,0,0,0
 Kuga,2017,13899,33606,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 EcoSport,2018,15599,7839,145.0,45.6,1.0,2,0,0,1,0,0,0,0,1
 Ka+,2017,8000,12164,30.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2018,8500,1216,145.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 Fiesta,2018,12599,14788,145.0,54.3,1.0,5,0,0,1,0,0,0,0,1
 Fiesta,2016,8499,36158,0.0,88.3,1.5,5,0,1,0,1,0,0,0,0
 Fiesta,2019,12399,10241,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,16399,16222,145.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Fiesta,2020,15499,2056,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Fiesta,2019,13299,14389,145.0,55.4,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,14499,44934,145.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Galaxy,2016,21499,6906,125.0,56.5,2.0,8,0,1,0,1,0,0,0,0
 Ka+,2019,11099,5376,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Kuga,2017,18299,26309,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 EcoSport,2018,14899,9600,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Focus,2018,19899,19485,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Focus,2019,18699,8883,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,10899,15445,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 B-MAX,2017,12499,5698,145.0,57.7,1.0,0,0,1,0,0,0,0,0,1
 EcoSport,2018,14499,6478,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Focus,2018,16899,11533,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2019,17499,1260,145.0,67.3,1.5,6,1,0,0,1,0,0,0,0
 Fiesta,2018,10599,8890,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12000,26000,145.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12299,8800,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,12299,4132,145.0,48.7,1.1,5,0,1,0,0,0,0,0,1
 Fiesta,2019,15899,3572,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 Galaxy,2016,16499,36209,125.0,56.5,2.0,8,0,1,0,1,0,0,0,0
 Galaxy,2016,15899,39886,125.0,56.5,2.0,8,0,1,0,1,0,0,0,0
 S-MAX,2017,16899,36791,145.0,56.5,2.0,18,0,1,0,1,0,0,0,0
 Fiesta,2019,16299,10233,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Focus,2017,11499,35763,125.0,51.4,1.5,6,0,1,0,0,0,0,0,1
 Focus,2019,17899,6880,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 EcoSport,2017,11299,15506,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2017,9799,25999,145.0,64.2,1.1,5,0,1,0,0,0,0,0,1
 EcoSport,2019,16199,9808,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 EcoSport,2018,12499,25174,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 S-MAX,2017,16599,42385,145.0,56.5,2.0,18,0,1,0,1,0,0,0,0
 S-MAX,2017,19799,30008,145.0,56.5,2.0,18,0,1,0,1,0,0,0,0
 Focus,2016,10799,11294,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,9699,37700,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2019,17799,9708,145.0,54.3,1.5,13,0,1,0,1,0,0,0,0
 Kuga,2017,18000,18140,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2019,16699,7147,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Fiesta,2019,14699,7556,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,14899,8614,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,15399,7957,145.0,55.4,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,14899,9063,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,15000,10097,145.0,55.4,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,12899,7949,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 C-MAX,2017,11199,24543,30.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 S-MAX,2017,19199,26577,145.0,56.5,2.0,18,0,1,0,1,0,0,0,0
 Focus,2018,11999,13072,145.0,57.7,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,11899,7657,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,11599,38590,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2017,10799,11224,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,15499,7175,145.0,55.4,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,11599,36539,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2017,10899,44864,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2014,8500,44654,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2019,16499,8291,145.0,48.7,1.0,5,0,0,1,0,0,0,0,1
 Kuga,2017,15000,24244,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,15499,29984,30.0,61.4,2.0,6,0,0,1,1,0,0,0,0
 C-MAX,2017,10899,20303,20.0,68.9,1.5,1,0,1,0,1,0,0,0,0
 Kuga,2019,18299,11119,145.0,38.2,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2017,9699,23424,20.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Focus,2018,15399,14693,145.0,51.4,1.5,6,0,1,0,0,0,0,0,1
 Kuga,2015,10199,66576,145.0,52.3,2.0,13,0,0,1,1,0,0,0,0
 EcoSport,2018,16699,5266,145.0,48.7,1.0,2,0,0,1,0,0,0,0,1
 Edge,2016,19499,30265,160.0,48.7,2.0,3,0,0,1,1,0,0,0,0
 Fiesta,2017,9999,13823,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2016,10199,17810,20.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,13299,14889,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2018,16399,17609,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,10500,8631,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2017,10299,30963,125.0,52.3,1.0,2,0,1,0,0,0,0,0,1
